file;time
10000;8.2303
50000;26.5709
100000;30.8259
500000;217.1289
1000000;485.4716
10000;1.7743
50000;11.9909
100000;27.8316
500000;196.4813
1000000;435.9038
10000;2.0411
50000;12.2645
100000;29.7002
500000;193.4232
1000000;487.8891
10000;1.9899
50000;14.1088
100000;28.7125
500000;209.3475
1000000;413.1909
10000;1.5414
50000;12.8436
100000;28.5043
500000;208.3915
1000000;495.3883
10000;2.1787
50000;11.7962
100000;29.8055
500000;202.3300
1000000;447.0413
10000;1.5569
50000;12.1294
100000;30.5194
500000;191.1746
1000000;460.1173
10000;1.5040
50000;11.3269
100000;30.1729
500000;193.6763
1000000;455.7303
10000;1.9747
50000;11.9996
100000;28.9760
500000;204.4869
1000000;461.3551
10000;1.6180
50000;12.7222
100000;28.6073
500000;198.1769
1000000;415.2220
