file;time
10000;41.5303
50000;197.6181
100000;415.1083
500000;2415.9182
1000000;5423.4739
10000;34.5261
50000;198.3814
100000;421.0129
500000;2496.2912
1000000;5355.5126
10000;34.0895
50000;192.8111
100000;431.2705
500000;2533.2904
1000000;5354.7687
10000;34.2520
50000;193.4420
100000;435.2813
500000;2477.8801
1000000;5267.7509
10000;33.7398
50000;198.2247
100000;409.9728
500000;2564.2209
1000000;5131.0761
10000;35.0240
50000;200.2738
100000;424.1858
500000;2409.2525
1000000;5275.9293
10000;33.9132
50000;193.9144
100000;406.2934
500000;2384.5028
1000000;5225.1670
10000;33.2406
50000;196.3833
100000;420.1807
500000;2446.3069
1000000;5240.1821
10000;34.6062
50000;193.6328
100000;414.7223
500000;2453.7379
1000000;5301.1173
10000;33.7656
50000;199.7732
100000;431.3900
500000;2491.2736
1000000;5241.9752
