file;time
10000;7.0780
50000;10.6107
100000;23.3955
500000;165.1599
1000000;380.0109
10000;1.6778
50000;10.8200
100000;23.2598
500000;162.1805
1000000;355.9420
10000;1.6296
50000;9.5998
100000;23.5522
500000;164.0954
1000000;368.9339
10000;1.6613
50000;12.0216
100000;23.2932
500000;158.7546
1000000;364.9857
10000;1.8503
50000;9.8695
100000;21.7751
500000;191.1468
1000000;354.1524
10000;1.8017
50000;10.9177
100000;25.1796
500000;156.7521
1000000;362.5781
10000;4.5445
50000;10.1951
100000;23.6840
500000;159.0958
1000000;357.9192
10000;1.6377
50000;9.5498
100000;26.9678
500000;175.7108
1000000;349.9048
10000;1.5101
50000;11.0131
100000;24.4804
500000;157.7219
1000000;365.8927
10000;1.4304
50000;9.0803
100000;25.8131
500000;171.7449
1000000;361.3726
