file;time
10000;3.6150
50000;19.7118
100000;47.4869
500000;369.0001
1000000;896.2559
10000;2.7246
50000;19.9014
100000;47.1868
500000;356.0151
1000000;818.4865
10000;2.8124
50000;19.8807
100000;48.5033
500000;348.7110
1000000;798.7500
10000;2.7530
50000;20.0765
100000;48.0629
500000;354.2043
1000000;862.1385
10000;2.7298
50000;19.4029
100000;47.4307
500000;349.5041
1000000;820.4534
10000;2.6863
50000;19.4134
100000;47.3067
500000;354.3894
1000000;816.2654
10000;2.7682
50000;19.3825
100000;46.8813
500000;354.8653
1000000;801.1796
10000;2.7756
50000;19.4242
100000;47.2166
500000;354.5343
1000000;803.8338
10000;2.7361
50000;20.0858
100000;48.0247
500000;350.9972
1000000;813.7421
10000;2.7316
50000;19.3585
100000;47.8844
500000;350.6161
1000000;803.8379
