file;time
10000;11.9433
50000;20.6219
100000;49.6422
500000;346.1999
1000000;898.0789
10000;2.8583
50000;20.3931
100000;50.6676
500000;359.6158
1000000;839.1783
10000;2.9653
50000;19.6605
100000;49.0396
500000;371.1634
1000000;828.8639
10000;2.8756
50000;19.7611
100000;47.9366
500000;356.8018
1000000;825.7069
10000;2.8852
50000;19.9816
100000;49.7352
500000;382.4314
1000000;821.0379
10000;2.9013
50000;20.0176
100000;51.4121
500000;358.6859
1000000;837.8117
10000;2.9394
50000;19.6355
100000;48.1114
500000;348.4631
1000000;837.9049
10000;2.8171
50000;19.4811
100000;49.0717
500000;363.5085
1000000;805.7827
10000;2.8814
50000;19.4084
100000;47.6686
500000;359.1364
1000000;839.3316
10000;2.8413
50000;19.8121
100000;50.3238
500000;359.3334
1000000;824.4969
