algorithm;type;file;time
merge;conc;10000;49.6693
merge;conc;50000;265.8316
merge;conc;100000;561.9420
merge;conc;500000;3171.7356
merge;conc;1000000;6711.4771
merge;conc;10000;46.6609
merge;conc;50000;262.2090
merge;conc;100000;557.0613
merge;conc;500000;3155.8785
merge;conc;1000000;6741.6656
merge;conc;10000;46.4203
merge;conc;50000;262.0111
merge;conc;100000;553.2107
merge;conc;500000;3170.2420
merge;conc;1000000;6742.4616
merge;conc;10000;47.0245
merge;conc;50000;263.1213
merge;conc;100000;555.4856
merge;conc;500000;3168.5247
merge;conc;1000000;6707.2637
merge;conc;10000;45.9293
merge;conc;50000;263.2871
merge;conc;100000;556.3178
merge;conc;500000;3173.8983
merge;conc;1000000;6775.1989
merge;conc;10000;47.0203
merge;conc;50000;261.6255
merge;conc;100000;566.1124
merge;conc;500000;3195.7309
merge;conc;1000000;6725.6691
merge;conc;10000;46.0141
merge;conc;50000;262.2295
merge;conc;100000;556.7613
merge;conc;500000;3154.0422
merge;conc;1000000;6714.0952
merge;conc;10000;45.9106
merge;conc;50000;261.0231
merge;conc;100000;556.8075
merge;conc;500000;3154.4476
merge;conc;1000000;6706.2804
merge;conc;10000;46.1778
merge;conc;50000;262.0633
merge;conc;100000;557.2528
merge;conc;500000;3160.5835
merge;conc;1000000;6584.4665
merge;conc;10000;44.4869
merge;conc;50000;254.3965
merge;conc;100000;540.4232
merge;conc;500000;3146.5089
merge;conc;1000000;6738.4392
merge;concLtd;10000;8.2303
merge;concLtd;50000;26.5709
merge;concLtd;100000;30.8259
merge;concLtd;500000;217.1289
merge;concLtd;1000000;485.4716
merge;concLtd;10000;1.7743
merge;concLtd;50000;11.9909
merge;concLtd;100000;27.8316
merge;concLtd;500000;196.4813
merge;concLtd;1000000;435.9038
merge;concLtd;10000;2.0411
merge;concLtd;50000;12.2645
merge;concLtd;100000;29.7002
merge;concLtd;500000;193.4232
merge;concLtd;1000000;487.8891
merge;concLtd;10000;1.9899
merge;concLtd;50000;14.1088
merge;concLtd;100000;28.7125
merge;concLtd;500000;209.3475
merge;concLtd;1000000;413.1909
merge;concLtd;10000;1.5414
merge;concLtd;50000;12.8436
merge;concLtd;100000;28.5043
merge;concLtd;500000;208.3915
merge;concLtd;1000000;495.3883
merge;concLtd;10000;2.1787
merge;concLtd;50000;11.7962
merge;concLtd;100000;29.8055
merge;concLtd;500000;202.3300
merge;concLtd;1000000;447.0413
merge;concLtd;10000;1.5569
merge;concLtd;50000;12.1294
merge;concLtd;100000;30.5194
merge;concLtd;500000;191.1746
merge;concLtd;1000000;460.1173
merge;concLtd;10000;1.5040
merge;concLtd;50000;11.3269
merge;concLtd;100000;30.1729
merge;concLtd;500000;193.6763
merge;concLtd;1000000;455.7303
merge;concLtd;10000;1.9747
merge;concLtd;50000;11.9996
merge;concLtd;100000;28.9760
merge;concLtd;500000;204.4869
merge;concLtd;1000000;461.3551
merge;concLtd;10000;1.6180
merge;concLtd;50000;12.7222
merge;concLtd;100000;28.6073
merge;concLtd;500000;198.1769
merge;concLtd;1000000;415.2220
merge;seq;10000;3.6150
merge;seq;50000;19.7118
merge;seq;100000;47.4869
merge;seq;500000;369.0001
merge;seq;1000000;896.2559
merge;seq;10000;2.7246
merge;seq;50000;19.9014
merge;seq;100000;47.1868
merge;seq;500000;356.0151
merge;seq;1000000;818.4865
merge;seq;10000;2.8124
merge;seq;50000;19.8807
merge;seq;100000;48.5033
merge;seq;500000;348.7110
merge;seq;1000000;798.7500
merge;seq;10000;2.7530
merge;seq;50000;20.0765
merge;seq;100000;48.0629
merge;seq;500000;354.2043
merge;seq;1000000;862.1385
merge;seq;10000;2.7298
merge;seq;50000;19.4029
merge;seq;100000;47.4307
merge;seq;500000;349.5041
merge;seq;1000000;820.4534
merge;seq;10000;2.6863
merge;seq;50000;19.4134
merge;seq;100000;47.3067
merge;seq;500000;354.3894
merge;seq;1000000;816.2654
merge;seq;10000;2.7682
merge;seq;50000;19.3825
merge;seq;100000;46.8813
merge;seq;500000;354.8653
merge;seq;1000000;801.1796
merge;seq;10000;2.7756
merge;seq;50000;19.4242
merge;seq;100000;47.2166
merge;seq;500000;354.5343
merge;seq;1000000;803.8338
merge;seq;10000;2.7361
merge;seq;50000;20.0858
merge;seq;100000;48.0247
merge;seq;500000;350.9972
merge;seq;1000000;813.7421
merge;seq;10000;2.7316
merge;seq;50000;19.3585
merge;seq;100000;47.8844
merge;seq;500000;350.6161
merge;seq;1000000;803.8379
quick;conc;10000;41.5303
quick;conc;50000;197.6181
quick;conc;100000;415.1083
quick;conc;500000;2415.9182
quick;conc;1000000;5423.4739
quick;conc;10000;34.5261
quick;conc;50000;198.3814
quick;conc;100000;421.0129
quick;conc;500000;2496.2912
quick;conc;1000000;5355.5126
quick;conc;10000;34.0895
quick;conc;50000;192.8111
quick;conc;100000;431.2705
quick;conc;500000;2533.2904
quick;conc;1000000;5354.7687
quick;conc;10000;34.2520
quick;conc;50000;193.4420
quick;conc;100000;435.2813
quick;conc;500000;2477.8801
quick;conc;1000000;5267.7509
quick;conc;10000;33.7398
quick;conc;50000;198.2247
quick;conc;100000;409.9728
quick;conc;500000;2564.2209
quick;conc;1000000;5131.0761
quick;conc;10000;35.0240
quick;conc;50000;200.2738
quick;conc;100000;424.1858
quick;conc;500000;2409.2525
quick;conc;1000000;5275.9293
quick;conc;10000;33.9132
quick;conc;50000;193.9144
quick;conc;100000;406.2934
quick;conc;500000;2384.5028
quick;conc;1000000;5225.1670
quick;conc;10000;33.2406
quick;conc;50000;196.3833
quick;conc;100000;420.1807
quick;conc;500000;2446.3069
quick;conc;1000000;5240.1821
quick;conc;10000;34.6062
quick;conc;50000;193.6328
quick;conc;100000;414.7223
quick;conc;500000;2453.7379
quick;conc;1000000;5301.1173
quick;conc;10000;33.7656
quick;conc;50000;199.7732
quick;conc;100000;431.3900
quick;conc;500000;2491.2736
quick;conc;1000000;5241.9752
quick;concLtd;10000;7.0780
quick;concLtd;50000;10.6107
quick;concLtd;100000;23.3955
quick;concLtd;500000;165.1599
quick;concLtd;1000000;380.0109
quick;concLtd;10000;1.6778
quick;concLtd;50000;10.8200
quick;concLtd;100000;23.2598
quick;concLtd;500000;162.1805
quick;concLtd;1000000;355.9420
quick;concLtd;10000;1.6296
quick;concLtd;50000;9.5998
quick;concLtd;100000;23.5522
quick;concLtd;500000;164.0954
quick;concLtd;1000000;368.9339
quick;concLtd;10000;1.6613
quick;concLtd;50000;12.0216
quick;concLtd;100000;23.2932
quick;concLtd;500000;158.7546
quick;concLtd;1000000;364.9857
quick;concLtd;10000;1.8503
quick;concLtd;50000;9.8695
quick;concLtd;100000;21.7751
quick;concLtd;500000;191.1468
quick;concLtd;1000000;354.1524
quick;concLtd;10000;1.8017
quick;concLtd;50000;10.9177
quick;concLtd;100000;25.1796
quick;concLtd;500000;156.7521
quick;concLtd;1000000;362.5781
quick;concLtd;10000;4.5445
quick;concLtd;50000;10.1951
quick;concLtd;100000;23.6840
quick;concLtd;500000;159.0958
quick;concLtd;1000000;357.9192
quick;concLtd;10000;1.6377
quick;concLtd;50000;9.5498
quick;concLtd;100000;26.9678
quick;concLtd;500000;175.7108
quick;concLtd;1000000;349.9048
quick;concLtd;10000;1.5101
quick;concLtd;50000;11.0131
quick;concLtd;100000;24.4804
quick;concLtd;500000;157.7219
quick;concLtd;1000000;365.8927
quick;concLtd;10000;1.4304
quick;concLtd;50000;9.0803
quick;concLtd;100000;25.8131
quick;concLtd;500000;171.7449
quick;concLtd;1000000;361.3726
quick;seq;10000;11.9433
quick;seq;50000;20.6219
quick;seq;100000;49.6422
quick;seq;500000;346.1999
quick;seq;1000000;898.0789
quick;seq;10000;2.8583
quick;seq;50000;20.3931
quick;seq;100000;50.6676
quick;seq;500000;359.6158
quick;seq;1000000;839.1783
quick;seq;10000;2.9653
quick;seq;50000;19.6605
quick;seq;100000;49.0396
quick;seq;500000;371.1634
quick;seq;1000000;828.8639
quick;seq;10000;2.8756
quick;seq;50000;19.7611
quick;seq;100000;47.9366
quick;seq;500000;356.8018
quick;seq;1000000;825.7069
quick;seq;10000;2.8852
quick;seq;50000;19.9816
quick;seq;100000;49.7352
quick;seq;500000;382.4314
quick;seq;1000000;821.0379
quick;seq;10000;2.9013
quick;seq;50000;20.0176
quick;seq;100000;51.4121
quick;seq;500000;358.6859
quick;seq;1000000;837.8117
quick;seq;10000;2.9394
quick;seq;50000;19.6355
quick;seq;100000;48.1114
quick;seq;500000;348.4631
quick;seq;1000000;837.9049
quick;seq;10000;2.8171
quick;seq;50000;19.4811
quick;seq;100000;49.0717
quick;seq;500000;363.5085
quick;seq;1000000;805.7827
quick;seq;10000;2.8814
quick;seq;50000;19.4084
quick;seq;100000;47.6686
quick;seq;500000;359.1364
quick;seq;1000000;839.3316
quick;seq;10000;2.8413
quick;seq;50000;19.8121
quick;seq;100000;50.3238
quick;seq;500000;359.3334
quick;seq;1000000;824.4969
